60293,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,14,171,0,2,2,14,229,0,2,3,0,61,0,0,4,0,33,0,0,5,0,4,0,0,6,613.57,432.1,0,560,7,22070.8,25746.85,0,1545,8,0,0,0,0,9A,0,1.85,0,0,9B,0,1,0,0,9C,0,21,0,0,10A,200,20,0,120,10B,248.19,20,0,124.95,10C,264,20,0,133.2,10D,164.21,13.85,0,180,10E,23,138,0,4,10F,14,601,0,4,10G,1,98,0,0,10H,250,38300,0,0,10I,19,111,0,10,Preston Scott,"Vice President, Tax"
60295,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,47,87,16,0,2,49,95,17,0,3,4,23,8,0,4,4,13,7,0,5,0,3,1,0,6,827.96,489.47,1183.53,0,7,34015.13,11555.82,300.37,0,8,0,0,0,0,9A,1,1.77,1.14,0,9B,1,2,1,0,9C,4,6,6,0,10A,60,20,17,0,10B,70.96,20,17,0,10C,90,20,17,0,10D,169.72,18.66,29.72,0,10E,121,136,48,0,10F,118,479,127,0,10G,15,29,8,0,10H,12000,15500,8630,0,10I,122,97,36,0,Preston Scott,"Vice President, Tax"
60296,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,9,142,0,5,2,9,165,0,5,3,0,62,0,0,4,0,29,0,0,5,0,4,0,0,6,630,520,0,906,7,14649.45,23679.63,0,6025.8,8,0,0,0,0,9A,0,2.14,0,0,9B,0,2,0,0,9C,0,12,0,0,10A,220,20,0,119.99,10B,251.87,20,0,123.35,10C,264,20,0,133.2,10D,167.89,16.78,0,180,10E,21,200,0,10,10F,11,726,0,10,10G,3,59,0,0,10H,3110,27100,0,0,10I,9,183,0,13,Preston Scott,"Vice President, Tax"
60297,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,3,103,0,9,2,3,114,0,9,3,0,66,0,0,4,0,30,0,0,5,0,5,0,0,6,656.67,476.75,0,728.89,7,5285.21,17985.76,0,8782.2,8,0,0,0,0,9A,0,2.2,0,0,9B,0,2,0,0,9C,0,12,0,0,10A,220,20,0,120,10B,258.5,20,0,125.82,10C,264,20,0,133.2,10D,162.67,16.9,0,180,10E,3,109,0,3,10F,3,459,0,10,10G,2,33,0,0,10H,970,14050,0,0,10I,4,107,0,11,Preston Scott,"Vice President, Tax"
60298,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,32,82,11,0,2,32,108,11,0,3,2,34,7,0,4,2,19,4,0,5,0,3,3,0,6,810,494.91,589.09,0,7,23065.6,14199.86,104.83,0,8,0,0,0,0,9A,1,1.79,1.75,0,9B,1,1,2,0,9C,2,10,3,0,10A,60,20,17,0,10B,74.35,20,17,0,10C,90,20,17,0,10D,169.88,18.1,29.83,0,10E,71,115,22,0,10F,60,394,80,0,10G,5,57,5,0,10H,4250,25550,2880,0,10I,63,82,27,0,Preston Scott,"Vice President, Tax"
60299,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,11,140,0,4,2,11,188,0,4,3,0,72,0,0,4,0,32,0,0,5,0,5,0,0,6,874.55,620.21,0,1337.5,7,24285.25,34153.1,0,6932.8,8,0,0,0,0,9A,0,2.25,0,0,9B,0,2,0,0,9C,0,14,0,0,10A,220,20,0,120,10B,249.71,20,0,123.1,10C,264,20,0,128.4,10D,162.91,14.25,0,180,10E,13,151,0,3,10F,11,579,0,4,10G,2,91,0,0,10H,1660,54500,0,0,10I,13,107,0,10,Preston Scott,"Vice President, Tax"
60301,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,12,170,10,0,2,12,198,10,0,3,0,61,2,0,4,0,28,2,0,5,0,5,0,0,6,758.33,433.84,1129,0,7,6994.02,22540.12,125.39,0,8,0,0,0,0,9A,0,2.18,1,0,9B,0,2,1,0,9C,0,12,2,0,10A,60.4,20,17,0,10B,77.02,20,17,0,10C,90,20,17,0,10D,168.08,17.13,29.92,0,10E,45,201,23,0,10F,19,748,45,0,10G,2,77,6,0,10H,1500,31750,6550,0,10I,36,136,18,0,Preston Scott,"Vice President, Tax"
60302,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,16,101,11,0,2,18,115,11,0,3,0,50,9,0,4,0,20,6,0,5,0,4,3,0,6,902.78,468.26,610,0,7,12845.79,15448.03,100.84,0,8,0,0,0,0,9A,0,2.5,1.5,0,9B,0,2,1.5,0,9C,0,7,3,0,10A,63.2,20,17,0,10B,73.08,20,17,0,10C,89.5,20,17,0,10D,171.22,17.75,29.65,0,10E,39,155,66,0,10F,29,566,182,0,10G,5,41,2,0,10H,5360,17250,1820,0,10I,37,124,60,0,Preston Scott,"Vice President, Tax"
60303,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,2,108,0,1,2,2,121,0,1,3,0,79,0,0,4,0,31,0,0,5,0,5,0,0,6,795,545.04,0,500,7,4095.03,22966.77,0,697.8,8,0,0,0,0,9A,0,2.55,0,0,9B,0,2,0,0,9C,0,10,0,0,10A,200,20,0,119.99,10B,244.49,20,0,123.3,10C,264,20,0,133.2,10D,171.5,16.25,0,180,10E,9,151,0,7,10F,3,547,0,5,10G,1,43,0,0,10H,800,22200,0,0,10I,3,118,0,7,Preston Scott,"Vice President, Tax"
60305,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,23,52,9,0,2,23,71,9,0,3,5,27,6,0,4,5,11,4,0,5,0,5,2,0,6,951.3,469.01,2433.33,0,7,20167.88,10181.65,288,0,8,0,0,2,0,9A,1,2.45,1.5,0,9B,1,2,1.5,0,9C,5,5,2,0,10A,58.8,20,17,0,10B,68.66,20,17,0,10C,89.5,20,17,0,10D,169.43,14.97,29.53,0,10E,57,59,37,0,10F,45,230,74,0,10G,4,36,1,0,10H,3950,14000,500,0,10I,48,49,23,0,Preston Scott,"Vice President, Tax"
